名稱,代號,2024配息率,2023配息率,2022配息率,2021配息率,平均配息率,23Q1營收,23Q1EPS,23Q2營收,23Q2EPS,23Q3營收,23Q3EPS,23Q4營收,23Q4EPS,2023EPS,股價,24Q1營收,24Q1EPS,24Q2營收,24Q2EPS,24Q3營收,24Q3EPS,10月營收,11月營收,12月營收
南緯,"=""1467""",0.0,0.0,0.0,97.2,24.3,10.3,-0.49,10.9,-0.29,13.9,0.09,10.5,-0.01,-0.71,10.3,12.4,0.12,10.2,0.0,14.5,0.28,4.45,3.72,5.11
昶和,"=""1468""",0.0,0.0,0.0,0.0,0.0,2.76,-0.02,2.86,0.14,2.32,0.28,2.59,-0.23,0.17,12.7,2.5,0.25,3.4,0.47,2.5,0.08,0.92,0.71,0.75
大統新創,"=""1470""",892.0,324.0,234.0,132.0,395.5,2.32,0.41,1.49,0.1,1.46,0.06,1.28,0.0,0.58,22.95,1.9,0.36,1.87,0.27,1.97,0.13,0.72,0.67,0.75
首利,"=""1471""",0.0,0.0,0.0,0.0,0.0,0.51,-0.02,0.67,-0.23,0.7,0.06,0.69,-0.1,-0.29,12.5,0.57,0.04,0.78,0.02,0.69,0.22,0.3,0.21,0.24
三洋實業,"=""1472""",46.8,0.0,0.0,0.0,11.7,2.57,0.36,5.37,0.85,5.43,1.55,6.1,1.49,4.27,70.9,5.73,1.13,5.37,0.26,5.47,0.51,1.56,2.43,2.79
台南,"=""1473""",56.3,48.5,-10.9,-8.16,21.435,17.5,0.53,14.9,0.42,16.9,0.85,15.8,0.34,2.13,34.45,23.1,1.44,16.3,0.61,18.3,0.49,4.08,4.64,8.0
弘裕,"=""1474""",0.0,66.7,45.0,48.2,39.975,6.22,-0.15,5.75,-0.18,7.25,-0.27,7.63,0.26,-0.34,12.15,7.36,0.62,7.99,0.17,7.6,-0.01,2.98,2.76,3.0
業旺,"=""1475""",25.3,4.23,0.0,0.0,7.3825,3.4,2.52,3.14,3.36,2.91,2.33,3.42,1.4,7.9,58.6,4.21,1.74,5.24,2.27,5.22,1.21,1.63,1.65,1.68
儒鴻,"=""1476""",71.5,68.7,63.9,70.9,68.75,65,3.01,78.2,5.08,79.7,5.68,85,5.1,18.87,534.0,76.3,5.19,95.9,6.32,100,6.47,33.01,28.48,34.22
聚陽,"=""1477""",94.8,99.8,84.8,85.6,91.25,78.3,3.92,72.2,3.33,92.7,5.47,81.3,3.79,16.5,343.0,86.1,4.63,76.9,3.55,105,4.74,26.48,25.81,35.28
士電,"=""1503""",66.5,51.8,52.0,54.6,56.225,89.7,1.52,76.8,1.14,77,1.28,74.6,0.56,4.51,180.0,99.2,2.27,81.7,1.36,80.6,1.35,25.88,28.77,34.6
東元,"=""1504""",79.7,91.5,56.7,63.5,72.85,149,0.78,151,1.01,151,0.47,144,0.52,2.76,53.0,137,0.55,145,0.78,135,0.84,42.44,46.0,48.97
